Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;
3513603;Interior;Cunha;24;0;;
3513702;Interior;Descalvado;74;3;;
3513801;RMSP (exceto capital);Diadema;4686;239;;
3513850;Interior;Dirce Reis;4;0;;
3513900;Interior;Divinolândia;28;2;;
3514007;Interior;Dobrada;22;0;;
3514106;Interior;Dois Córregos;33;3;;
3514205;Interior;Dolcinópolis;42;2;;
3514304;Interior;Dourado;32;0;;
3514403;Interior;Dracena;185;7;;
3514502;Interior;Duartina;50;1;;
3514601;Interior;Dumont;107;1;;
3514700;Interior;Echaporã;9;1;;
3514809;Interior;Eldorado;76;1;;
3514908;Interior;Elias Fausto;112;4;;
3514924;Interior;Elisiário;33;0;;
3514957;Interior;Embaúba;23;1;;
3515004;RMSP (exceto capital);Embu das Artes;1869;115;;
3515103;RMSP (exceto capital);Embu-Guaçu;550;18;;
3515129;Interior;Emilianópolis;27;2;;
3515152;Interior;Engenheiro Coelho;230;9;;
3515186;Interior;Espírito Santo do Pinhal;133;2;;
3515194;Interior;Espírito Santo do Turvo;18;0;;
3515202;Interior;Estrela d'Oeste;184;5;;
3515301;Interior;Estrela do Norte;9;0;;
3515350;Interior;Euclides da Cunha Paulista;14;2;;
3515400;Interior;Fartura;33;1;;
3515509;Interior;Fernandópolis;861;15;;
3515608;Interior;Fernando Prestes;38;2;;
3515657;Interior;Fernão;2;0;;
3515707;RMSP (exceto capital);Ferraz de Vasconcelos;1287;89;;
3515806;Interior;Flora Rica;5;0;;
3515905;Interior;Floreal;24;1;;
3516002;Interior;Flórida Paulista;37;1;;
3516200;Interior;Franca;564;22;;
3516309;RMSP (exceto capital);Francisco Morato;1491;63;;
3516408;RMSP (exceto capital);Franco da Rocha;1118;85;;
3516507;Interior;Gabriel Monteiro;14;2;;
3516606;Interior;Gália;8;0;;
3516705;Interior;Garça;45;1;;
3516804;Interior;Gastão Vidigal;67;10;;
3516853;Interior;Gavião Peixoto;26;0;;
3516903;Interior;General Salgado;98;0;;
3517000;Interior;Getulina;56;0;;
3517109;Interior;Glicério;18;0;;
3517208;Interior;Guaiçara;171;2;;
3517307;Interior;Guaimbê;13;1;;
3517406;Interior;Guaíra;286;5;;
3517505;Interior;Guapiaçu;157;11;;
3517604;Interior;Guapiara;53;6;;
3517703;Interior;Guará;30;1;;
3517802;Interior;Guaraçaí;12;0;;
3517901;Interior;Guaraci;11;0;;
3518008;Interior;Guarani d'Oeste;27;0;;
3518107;Interior;Guarantã;49;0;;
3518206;Interior;Guararapes;237;2;;
3518305;RMSP (exceto capital);Guararema;196;14;;
3518404;Interior;Guaratinguetá;229;17;;
3518503;Interior;Guareí;144;1;;
3518602;Interior;Guariba;471;13;;
3518701;Interior;Guarujá;4258;176;;
3518800;RMSP (exceto capital);Guarulhos;10728;1002;;
3518859;Interior;Guatapará;16;0;;
3518909;Interior;Guzolândia;19;0;;
3519006;Interior;Herculândia;35;2;;
3519055;Interior;Holambra;80;0;;
3519071;Interior;Hortolândia;1743;53;;
3519105;Interior;Iacanga;47;0;;
3519204;Interior;Iacri;7;0;;
3519253;Interior;Iaras;8;1;;
3519303;Interior;Ibaté;136;1;;
3519402;Interior;Ibirá;123;3;;
3519501;Interior;Ibirarema;50;0;;
3519600;Interior;Ibitinga;315;10;;
3519709;Interior;Ibiúna;215;14;;
3519808;Interior;Icém;15;0;;
3519907;Interior;Iepê;3;1;;
3520004;Interior;Igaraçu do Tietê;117;2;;
3520103;Interior;Igarapava;145;3;;
3520202;Interior;Igaratá;226;5;;
3520301;Interior;Iguape;195;1;;
3520400;Interior;Ilhabela;525;6;;
3520426;Interior;Ilha Comprida;60;2;;
3520442;Interior;Ilha Solteira;56;1;;
3520509;Interior;Indaiatuba;983;80;;
3520608;Interior;Indiana;39;0;;
3520707;Interior;Indiaporã;16;0;;
3520806;Interior;Inúbia Paulista;5;0;;
3520905;Interior;Ipaussu;95;0;;
3521002;Interior;Iperó;82;0;;
3521101;Interior;Ipeúna;26;0;;
3521150;Interior;Ipiguá;61;3;;
3521200;Interior;Iporanga;7;0;;
3521309;Interior;Ipuã;181;5;;
3521408;Interior;Iracemápolis;435;7;;
3521507;Interior;Irapuã;18;0;;
3521606;Interior;Irapuru;34;1;;
3521705;Interior;Itaberá;36;0;;
3521804;Interior;Itaí;32;0;;
3521903;Interior;Itajobi;155;6;;
3522000;Interior;Itaju;35;0;;
3522109;Interior;Itanhaém;388;34;;
3522158;Interior;Itaoca;14;0;;
3522208;RMSP (exceto capital);Itapecerica da Serra;1407;109;;
3522307;Interior;Itapetininga;496;29;;
3522406;Interior;Itapeva;137;4;;
3522505;RMSP (exceto capital);Itapevi;1719;170;;
3522604;Interior;Itapira;300;14;;
3522653;Interior;Itapirapuã Paulista;21;0;;
3522703;Interior;Itápolis;90;2;;
3522802;Interior;Itaporanga;39;1;;
3522901;Interior;Itapuí;68;1;;
3523008;Interior;Itapura;27;1;;
3523107;RMSP (exceto capital);Itaquaquecetuba;2232;183;;
3523206;Interior;Itararé;73;1;;
3523305;Interior;Itariri;112;3;;
3523404;Interior;Itatiba;373;10;;
3523503;Interior;Itatinga;148;3;;
3523602;Interior;Itirapina;71;2;;
3523701;Interior;Itirapuã;5;1;;
3523800;Interior;Itobi;47;0;;
3523909;Interior;Itu;1229;47;;
3524006;Interior;Itupeva;646;23;;
3524105;Interior;Ituverava;58;1;;
3524204;Interior;Jaborandi;69;1;;
3524303;Interior;Jaboticabal;151;12;;
3524402;Interior;Jacareí;1259;47;;
3524501;Interior;Jaci;115;2;;
3524600;Interior;Jacupiranga;144;4;;
3524709;Interior;Jaguariúna;316;11;;
3524808;Interior;Jales;335;5;;
3524907;Interior;Jambeiro;32;1;;
3525003;RMSP (exceto capital);Jandira;748;48;;
3525102;Interior;Jardinópolis;189;15;;
3525201;Interior;Jarinu;214;19;;
3525300;Interior;Jaú;714;22;;
3525409;Interior;Jeriquara;5;0;;
3525508;Interior;Joanópolis;23;0;;
3525607;Interior;João Ramalho;22;1;;
3525706;Interior;José Bonifácio;335;9;;
3525805;Interior;Júlio Mesquita;10;1;;
3525854;Interior;Jumirim;8;0;;
3525904;Interior;Jundiaí;5980;270;;
3526001;Interior;Junqueirópolis;61;2;;
3526100;Interior;Juquiá;126;1;;
3526209;RMSP (exceto capital);Juquitiba;184;6;;
3526407;Interior;Laranjal Paulista;183;5;;
3526506;Interior;Lavínia;16;0;;
3526605;Interior;Lavrinhas;14;1;;
3526704;Interior;Leme;963;27;;
3526803;Interior;Lençóis Paulista;1501;28;;
3526902;Interior;Limeira;1854;98;;
3527009;Interior;Lindóia;24;0;;
3527108;Interior;Lins;481;17;;
3527207;Interior;Lorena;187;10;;
3527256;Interior;Lourdes;2;0;;
3527306;Interior;Louveira;414;17;;
3527405;Interior;Lucélia;48;5;;
3527504;Interior;Lucianópolis;1;0;;
3527603;Interior;Luís Antônio;108;8;;
3527702;Interior;Luiziânia;59;0;;
3527801;Interior;Lupércio;15;0;;
3527900;Interior;Lutécia;3;0;;
3528007;Interior;Macatuba;385;4;;
3528106;Interior;Macaubal;34;2;;
3528205;Interior;Macedônia;27;0;;
3528304;Interior;Magda;19;1;;
3528403;Interior;Mairinque;281;14;;
3528502;RMSP (exceto capital);Mairiporã;420;34;;
3528601;Interior;Manduri;20;0;;
3528700;Interior;Marabá Paulista;4;0;;
3528809;Interior;Maracaí;86;0;;
3528858;Interior;Marapoama;9;0;;
3528908;Interior;Mariápolis;6;0;;
3529005;Interior;Marília;749;18;;
3529104;Interior;Marinópolis;5;0;;
3529203;Interior;Martinópolis;78;3;;
3529302;Interior;Matão;158;7;;
3529401;RMSP (exceto capital);Mauá;3121;191;;
3529500;Interior;Mendonça;105;5;;
3529609;Interior;Meridiano;15;0;;
3529658;Interior;Mesópolis;15;0;;
3529708;Interior;Miguelópolis;89;2;;
3529807;Interior;Mineiros do Tietê;69;2;;
3529906;Interior;Miracatu;160;11;;
3530003;Interior;Mira Estrela;17;1;;
3530102;Interior;Mirandópolis;126;5;;
3530201;Interior;Mirante do Paranapanema;22;0;;
3530300;Interior;Mirassol;327;12;;
3530409;Interior;Mirassolândia;48;1;;
3530508;Interior;Mococa;248;7;;
3530607;RMSP (exceto capital);Mogi das Cruzes;3091;223;;
3530706;Interior;Mogi Guaçu;1194;34;;
3530805;Interior;Mogi Mirim;407;21;;
3530904;Interior;Mombuca;23;0;;
3531001;Interior;Monções;29;1;;
3531100;Interior;Mongaguá;231;10;;
3531209;Interior;Monte Alegre do Sul;14;0;;
3531308;Interior;Monte Alto;141;2;;
3531407;Interior;Monte Aprazível;217;6;;
3531506;Interior;Monte Azul Paulista;75;1;;
3531704;Interior;Monteiro Lobato;20;0;;
3531803;Interior;Monte Mor;537;11;;
3531902;Interior;Morro Agudo;431;9;;
3532009;Interior;Morungaba;44;2;;
3532058;Interior;Motuca;29;0;;
3532108;Interior;Murutinga do Sul;10;0;;
3532157;Interior;Nantes;3;0;;
3532207;Interior;Narandiba;4;1;;
3532306;Interior;Natividade da Serra;7;1;;
3532405;Interior;Nazaré Paulista;99;2;;
3532504;Interior;Neves Paulista;55;0;;
3532603;Interior;Nhandeara;50;2;;
3532702;Interior;Nipoã;50;0;;
3532801;Interior;Nova Aliança;61;1;;
3532827;Interior;Nova Campina;1;0;;
3532843;Interior;Nova Canaã Paulista;2;0;;
3532868;Interior;Nova Castilho;9;2;;
3532900;Interior;Nova Europa;88;0;;
3533007;Interior;Nova Granada;153;1;;
3533106;Interior;Nova Guataporanga;6;0;;
3533205;Interior;Nova Independência;4;0;;
3533254;Interior;Novais;30;0;;
3533304;Interior;Nova Luzitânia;24;1;;
3533403;Interior;Nova Odessa;350;23;;
3533502;Interior;Novo Horizonte;96;2;;
3533601;Interior;Nuporanga;9;0;;
3533700;Interior;Ocauçu;2;0;;
3533809;Interior;Óleo;2;0;;
3533908;Interior;Olímpia;345;4;;
3534005;Interior;Onda Verde;31;1;;
3534104;Interior;Oriente;15;0;;
3534203;Interior;Orindiúva;78;2;;
3534302;Interior;Orlândia;336;11;;
3534401;RMSP (exceto capital);Osasco;8409;591;;
3534500;Interior;Oscar Bressane;2;0;;
3534609;Interior;Osvaldo Cruz;64;2;;
3534708;Interior;Ourinhos;664;7;;
3534757;Interior;Ouroeste;54;1;;
3534807;Interior;Ouro Verde;8;0;;
3534906;Interior;Pacaembu;49;3;;
3535002;Interior;Palestina;37;2;;
3535101;Interior;Palmares Paulista;49;3;;
3535200;Interior;Palmeira d'Oeste;55;1;;
3535309;Interior;Palmital;46;1;;
3535408;Interior;Panorama;43;3;;
3535507;Interior;Paraguaçu Paulista;135;4;;
3535606;Interior;Paraibuna;44;0;;
3535705;Interior;Paraíso;35;1;;
3535804;Interior;Paranapanema;52;1;;
3535903;Interior;Paranapuã;18;0;;
3536000;Interior;Parapuã;23;2;;
3536109;Interior;Pardinho;61;1;;
3536208;Interior;Pariquera-Açu;338;6;;
3536257;Interior;Parisi;22;0;;
3536307;Interior;Patrocínio Paulista;28;0;;
3536406;Interior;Paulicéia;9;1;;
3536505;Interior;Paulínia;2173;22;;
3536570;Interior;Paulistânia;6;0;;
3536604;Interior;Paulo de Faria;11;1;;
3536703;Interior;Pederneiras;293;5;;
3536802;Interior;Pedra Bela;19;0;;
3536901;Interior;Pedranópolis;11;1;;
3537008;Interior;Pedregulho;7;0;;
3537107;Interior;Pedreira;78;2;;
3537156;Interior;Pedrinhas Paulista;7;1;;
3537206;Interior;Pedro de Toledo;14;1;;
3537305;Interior;Penápolis;136;4;;
3537404;Interior;Pereira Barreto;89;6;;
3537503;Interior;Pereiras;23;1;;
3537602;Interior;Peruíbe;254;19;;
3537701;Interior;Piacatu;1;0;;
3537800;Interior;Piedade;306;13;;
3537909;Interior;Pilar do Sul;101;2;;
3538006;Interior;Pindamonhangaba;456;16;;
3538105;Interior;Pindorama;78;4;;
3538204;Interior;Pinhalzinho;38;1;;
3538303;Interior;Piquerobi;8;0;;
3538501;Interior;Piquete;38;1;;
3538600;Interior;Piracaia;116;3;;
3538709;Interior;Piracicaba;5464;167;;
3538808;Interior;Piraju;135;4;;
3538907;Interior;Pirajuí;68;2;;
3539004;Interior;Pirangi;133;4;;
3539103;RMSP (exceto capital);Pirapora do Bom Jesus;270;4;;
3539202;Interior;Pirapozinho;76;5;;
3539301;Interior;Pirassununga;503;4;;
3539400;Interior;Piratininga;92;3;;
3539509;Interior;Pitangueiras;210;3;;
3539608;Interior;Planalto;77;1;;
3539707;Interior;Platina;2;0;;
3539806;RMSP (exceto capital);Poá;802;65;;
3539905;Interior;Poloni;22;1;;
3540002;Interior;Pompéia;17;2;;
3540101;Interior;Pongaí;6;0;;
3540200;Interior;Pontal;770;24;;
3540259;Interior;Pontalinda;24;3;;
3540309;Interior;Pontes Gestal;29;1;;
3540408;Interior;Populina;34;1;;
3540507;Interior;Porangaba;17;0;;
3540606;Interior;Porto Feliz;559;9;;
3540705;Interior;Porto Ferreira;231;11;;
3540754;Interior;Potim;34;0;;
3540804;Interior;Potirendaba;252;3;;
3540853;Interior;Pracinha;3;0;;
3540903;Interior;Pradópolis;159;9;;
3541000;Interior;Praia Grande;4332;112;;
3541059;Interior;Pratânia;20;0;;
3541109;Interior;Presidente Alves;14;0;;
3541208;Interior;Presidente Bernardes;78;1;;
3541307;Interior;Presidente Epitácio;155;4;;
3541406;Interior;Presidente Prudente;1437;33;;
3541505;Interior;Presidente Venceslau;168;11;;
3541604;Interior;Promissão;496;4;;
3541653;Interior;Quadra;4;0;;
3541703;Interior;Quatá;43;2;;
3541802;Interior;Queiroz;19;2;;
3541901;Interior;Queluz;60;0;;
3542008;Interior;Quintana;5;0;;
3542107;Interior;Rafard;85;1;;
3542206;Interior;Rancharia;75;3;;
3542305;Interior;Redenção da Serra;9;0;;
3542404;Interior;Regente Feijó;35;0;;
3542503;Interior;Reginópolis;11;1;;
3542602;Interior;Registro;640;11;;
3542701;Interior;Restinga;3;0;;
3542800;Interior;Ribeira;16;0;;
3542909;Interior;Ribeirão Bonito;34;0;;
3543006;Interior;Ribeirão Branco;67;1;;
3543204;Interior;Ribeirão do Sul;12;0;;
3543238;Interior;Ribeirão dos Índios;7;2;;
3543253;Interior;Ribeirão Grande;42;1;;
3543303;RMSP (exceto capital);Ribeirão Pires;704;42;;
3543402;Interior;Ribeirão Preto;8591;307;;
3543501;Interior;Riversul;11;1;;
3543600;Interior;Rifaina;6;1;;
3543709;Interior;Rincão;34;2;;
3543808;Interior;Rinópolis;13;0;;
3543907;Interior;Rio Claro;1556;60;;
3544004;Interior;Rio das Pedras;254;12;;
3544103;RMSP (exceto capital);Rio Grande da Serra;335;12;;
3544202;Interior;Riolândia;79;0;;
3544251;Interior;Rosana;32;0;;
3544301;Interior;Roseira;26;2;;
3544400;Interior;Rubiácea;28;0;;
3544509;Interior;Rubinéia;32;0;;
3544608;Interior;Sabino;13;1;;
3544707;Interior;Sagres;2;0;;
3544806;Interior;Sales;16;1;;
3544905;Interior;Sales Oliveira;84;1;;
3545001;RMSP (exceto capital);Salesópolis;75;7;;
3545100;Interior;Salmourão;6;0;;
3545159;Interior;Saltinho;58;2;;
3545209;Interior;Salto;618;20;;
3545308;Interior;Salto de Pirapora;295;8;;
3545407;Interior;Salto Grande;22;1;;
3545506;Interior;Sandovalina;6;0;;
3545605;Interior;Santa Adélia;79;1;;
3545704;Interior;Santa Albertina;35;0;;
3545803;Interior;Santa Bárbara d'Oeste;1526;51;;
3546009;Interior;Santa Branca;67;3;;
3546108;Interior;Santa Clara d'Oeste;13;0;;
3546207;Interior;Santa Cruz da Conceição;48;0;;
3546256;Interior;Santa Cruz da Esperança;9;1;;
3546306;Interior;Santa Cruz das Palmeiras;489;7;;
3546405;Interior;Santa Cruz do Rio Pardo;398;3;;
3546504;Interior;Santa Ernestina;58;0;;
3546603;Interior;Santa Fé do Sul;266;4;;
3546702;Interior;Santa Gertrudes;271;3;;
3546801;RMSP (exceto capital);Santa Isabel;547;48;;
3546900;Interior;Santa Lúcia;18;1;;
3547007;Interior;Santa Maria da Serra;56;0;;
3547205;Interior;Santana da Ponte Pensa;7;0;;
3547304;RMSP (exceto capital);Santana de Parnaíba;1535;62;;
3547403;Interior;Santa Rita d'Oeste;3;0;;
3547502;Interior;Santa Rita do Passa Quatro;69;3;;
3547601;Interior;Santa Rosa de Viterbo;70;1;;
3547650;Interior;Santa Salete;27;1;;
3547700;Interior;Santo Anastácio;50;6;;
3547809;RMSP (exceto capital);Santo André;9607;364;;
3547908;Interior;Santo Antônio da Alegria;10;2;;
3548005;Interior;Santo Antônio de Posse;75;1;;
3548054;Interior;Santo Antônio do Aracanguá;93;5;;
3548104;Interior;Santo Antônio do Jardim;24;2;;
3548203;Interior;Santo Antônio do Pinhal;19;2;;
3548302;Interior;Santo Expedito;7;0;;
3548401;Interior;Santópolis do Aguapeí;19;1;;
3548500;Interior;Santos;13776;436;;
3548609;Interior;São Bento do Sapucaí;28;0;;
3548708;RMSP (exceto capital);São Bernardo do Campo;13389;583;;
3548807;RMSP (exceto capital);São Caetano do Sul;2406;121;;
3548906;Interior;São Carlos;1062;19;;
3549003;Interior;São Francisco;8;0;;
3549102;Interior;São João da Boa Vista;154;6;;
3549201;Interior;São João das Duas Pontes;51;1;;
3549250;Interior;São João de Iracema;19;0;;
3549300;Interior;São João do Pau d'Alho;1;0;;
3549409;Interior;São Joaquim da Barra;296;9;;
3549508;Interior;São José da Bela Vista;9;2;;
3549706;Interior;São José do Rio Pardo;105;7;;
3549805;Interior;São José do Rio Preto;6832;188;;
3549904;Interior;São José dos Campos;5526;165;;
3549953;RMSP (exceto capital);São Lourenço da Serra;69;5;;
3550001;Interior;São Luiz do Paraitinga;10;3;;
3550100;Interior;São Manuel;137;5;;
3550209;Interior;São Miguel Arcanjo;160;6;;
3550308;Capital;São Paulo;173710;9098;;
3550407;Interior;São Pedro;181;6;;
3550506;Interior;São Pedro do Turvo;37;0;;
3550605;Interior;São Roque;316;15;;
3550704;Interior;São Sebastião;640;8;;
3550803;Interior;São Sebastião da Grama;66;1;;
3550902;Interior;São Simão;47;2;;
3551009;Interior;São Vicente;4196;255;;
3551108;Interior;Sarapuí;7;0;;
3551207;Interior;Sarutaiá;28;1;;
3551306;Interior;Sebastianópolis do Sul;28;0;;
3551405;Interior;Serra Azul;21;2;;
3551504;Interior;Serrana;342;17;;
3551603;Interior;Serra Negra;55;0;;
3551702;Interior;Sertãozinho;1829;35;;
3551801;Interior;Sete Barras;40;1;;
3551900;Interior;Severínia;62;0;;
3552007;Interior;Silveiras;15;0;;
3552106;Interior;Socorro;109;5;;
3552205;Interior;Sorocaba;8133;210;;
3552304;Interior;Sud Mennucci;28;0;;
3552403;Interior;Sumaré;2761;67;;
3552502;RMSP (exceto capital);Suzano;2246;154;;
3552551;Interior;Suzanápolis;14;0;;
3552601;Interior;Tabapuã;174;10;;
3552700;Interior;Tabatinga;69;1;;
3552809;RMSP (exceto capital);Taboão da Serra;3320;168;;
3552908;Interior;Taciba;21;2;;
3553005;Interior;Taguaí;32;1;;
3553104;Interior;Taiaçu;39;0;;
3553203;Interior;Taiúva;26;1;;
3553302;Interior;Tambaú;83;1;;
3553401;Interior;Tanabi;345;12;;
3553500;Interior;Tapiraí;77;0;;
3553609;Interior;Tapiratiba;43;0;;
3553658;Interior;Taquaral;17;1;;
3553708;Interior;Taquaritinga;125;3;;
3553807;Interior;Taquarituba;36;1;;
3553856;Interior;Taquarivaí;9;0;;
3553906;Interior;Tarabai;28;1;;
3553955;Interior;Tarumã;41;1;;
3554003;Interior;Tatuí;683;34;;
3554102;Interior;Taubaté;953;47;;
3554201;Interior;Tejupá;11;0;;
3554300;Interior;Teodoro Sampaio;52;0;;
3554409;Interior;Terra Roxa;130;3;;
3554508;Interior;Tietê;167;5;;
3554607;Interior;Timburi;6;0;;
3554656;Interior;Torre de Pedra;8;2;;
3554706;Interior;Torrinha;101;4;;
3554755;Interior;Trabiju;10;0;;
3554805;Interior;Tremembé;77;0;;
3554904;Interior;Três Fronteiras;53;1;;
3554953;Interior;Tuiuti;20;0;;
3555000;Interior;Tupã;179;11;;
3555109;Interior;Tupi Paulista;61;0;;
3555208;Interior;Turiúba;15;1;;
3555307;Interior;Turmalina;6;0;;
3555356;Interior;Ubarana;61;0;;
3555406;Interior;Ubatuba;349;16;;
3555505;Interior;Ubirajara;56;1;;
3555604;Interior;Uchoa;104;7;;
3555703;Interior;União Paulista;15;0;;
3555802;Interior;Urânia;106;6;;
3555901;Interior;Uru;4;1;;
3556008;Interior;Urupês;30;3;;
3556107;Interior;Valentim Gentil;153;1;;
3556206;Interior;Valinhos;1130;37;;
3556305;Interior;Valparaíso;160;5;;
3556354;Interior;Vargem;34;1;;
3556404;Interior;Vargem Grande do Sul;99;0;;
3556453;RMSP (exceto capital);Vargem Grande Paulista;263;16;;
3556503;Interior;Várzea Paulista;788;47;;
3556602;Interior;Vera Cruz;6;1;;
3556701;Interior;Vinhedo;753;13;;
3556800;Interior;Viradouro;77;5;;
3556909;Interior;Vista Alegre do Alto;87;2;;
3556958;Interior;Vitória Brasil;2;0;;
3557006;Interior;Votorantim;960;44;;
3557105;Interior;Votuporanga;1111;30;;
3557154;Interior;Zacarias;39;0;;
3557204;Interior;Chavantes;15;1;;
3557303;Interior;Estiva Gerbi;94;4;;
;;Ignorado;92;0;;
